,main_category,unit_type,sub_category,max_range,min_range
Hair Removal Laser Machine_unit_Brand,Hair Removal Laser Machine,unit,Brand,64000.0,8.5
Hair Removal Laser Machine_unit_Features,Hair Removal Laser Machine,unit,Features,64000.0,60000.0
Hair Removal Laser Machine_unit_Laser Type,Hair Removal Laser Machine,unit,Laser Type,450000.0,200000.0
Hair Removal Laser Machine_unit_Machine Type,Hair Removal Laser Machine,unit,Machine Type,525000.0,200000.0
Hair Removal Laser Machine_unit_Model Number,Hair Removal Laser Machine,unit,Model Number,1000000.0,750000.0
Hair Removal Laser Machine_unit_Power Supply,Hair Removal Laser Machine,unit,Power Supply,345000.0,345000.0
Hair Removal Laser Machine_unit_Product Type,Hair Removal Laser Machine,unit,Product Type,1000000.0,750000.0
Hair Removal Laser Machine_unit_Usage,Hair Removal Laser Machine,unit,Usage,420000.0,8.5
Hair Removal Laser Machine_unit_Usage/Application,Hair Removal Laser Machine,unit,Usage/Application,450000.0,60000.0
Hair Removal Laser Machine_unit_Wavelength,Hair Removal Laser Machine,unit,Wavelength,525000.0,200000.0
Hand Operated Hydraulic Press_millimeter_Brand,Hand Operated Hydraulic Press,millimeter,Brand,50000.0,50000.0
Hand Operated Hydraulic Press_millimeter_Material,Hand Operated Hydraulic Press,millimeter,Material,50000.0,50000.0
Hand Operated Hydraulic Press_millimeter_Max Force or Load,Hand Operated Hydraulic Press,millimeter,Max Force or Load,50000.0,50000.0
Hand Operated Hydraulic Press_piece_Automatic Grade,Hand Operated Hydraulic Press,piece,Automatic Grade,42000.0,25000.0
Hand Operated Hydraulic Press_piece_Automation Grade,Hand Operated Hydraulic Press,piece,Automation Grade,100000.0,98000.0
Hand Operated Hydraulic Press_piece_Brand,Hand Operated Hydraulic Press,piece,Brand,45000.0,28500.0
Hand Operated Hydraulic Press_piece_Material,Hand Operated Hydraulic Press,piece,Material,45000.0,15000.0
Hand Operated Hydraulic Press_piece_Max Force Or Load,Hand Operated Hydraulic Press,piece,Max Force Or Load,45000.0,15000.0
Hand Operated Hydraulic Press_piece_Max Force or Load,Hand Operated Hydraulic Press,piece,Max Force or Load,45000.0,25000.0
Hand Operated Hydraulic Press_piece_Model Number/Name,Hand Operated Hydraulic Press,piece,Model Number/Name,42000.0,28500.0
Hand Operated Hydraulic Press_set_Max Force Or Load,Hand Operated Hydraulic Press,set,Max Force Or Load,200000.0,200000.0
Hand Operated Hydraulic Press_unit_Automatic Grade,Hand Operated Hydraulic Press,unit,Automatic Grade,110000.0,36500.0
Hand Operated Hydraulic Press_unit_Automation Grade,Hand Operated Hydraulic Press,unit,Automation Grade,140000.0,38000.0
Hand Operated Hydraulic Press_unit_Brand,Hand Operated Hydraulic Press,unit,Brand,1500.0,1500.0
Hand Operated Hydraulic Press_unit_Capacity,Hand Operated Hydraulic Press,unit,Capacity,110000.0,1.0
Hand Operated Hydraulic Press_unit_Control Type,Hand Operated Hydraulic Press,unit,Control Type,36500.0,1500.0
Hand Operated Hydraulic Press_unit_Material,Hand Operated Hydraulic Press,unit,Material,165000.0,1.0
Hand Operated Hydraulic Press_unit_Max Force Or Load,Hand Operated Hydraulic Press,unit,Max Force Or Load,38000.0,1.0
Hand Operated Hydraulic Press_unit_Max Force or Load,Hand Operated Hydraulic Press,unit,Max Force or Load,110000.0,1500.0
Hand Operated Hydraulic Press_unit_Model,Hand Operated Hydraulic Press,unit,Model,110000.0,1500.0
Hand Operated Hydraulic Press_unit_Model Number/Name,Hand Operated Hydraulic Press,unit,Model Number/Name,1.0,1.0
Hand Operated Hydraulic Press_unit_Orientation,Hand Operated Hydraulic Press,unit,Orientation,70000.0,70000.0
Hand Operated Hydraulic Press_unit_Type Of Press,Hand Operated Hydraulic Press,unit,Type Of Press,350000.0,350000.0
Heat Resistant Conveyor Belt_feet_Belt Material,Heat Resistant Conveyor Belt,feet,Belt Material,8000.0,8000.0
Heat Resistant Conveyor Belt_meter_Belt Thickness,Heat Resistant Conveyor Belt,meter,Belt Thickness,2600.0,30.0
Heat Resistant Conveyor Belt_meter_Belt Width,Heat Resistant Conveyor Belt,meter,Belt Width,2600.0,400.0
Heat Resistant Conveyor Belt_meter_Feature,Heat Resistant Conveyor Belt,meter,Feature,1290.0,300.0
Heat Resistant Conveyor Belt_meter_Features,Heat Resistant Conveyor Belt,meter,Features,1400.0,500.0
Heat Resistant Conveyor Belt_meter_Finish,Heat Resistant Conveyor Belt,meter,Finish,600.0,600.0
Heat Resistant Conveyor Belt_meter_Length,Heat Resistant Conveyor Belt,meter,Length,1300.0,800.0
Heat Resistant Conveyor Belt_meter_Material,Heat Resistant Conveyor Belt,meter,Material,800.0,30.0
Heat Resistant Conveyor Belt_meter_Packaging Type,Heat Resistant Conveyor Belt,meter,Packaging Type,750.0,30.0
Heat Resistant Conveyor Belt_meter_Tensile Strength,Heat Resistant Conveyor Belt,meter,Tensile Strength,850.0,400.0
Heat Resistant Conveyor Belt_meter_Thickness,Heat Resistant Conveyor Belt,meter,Thickness,600.0,216.0
Heat Resistant Conveyor Belt_meter_Type,Heat Resistant Conveyor Belt,meter,Type,1300.0,800.0
Heat Resistant Conveyor Belt_meter_Usage/Application,Heat Resistant Conveyor Belt,meter,Usage/Application,600.0,600.0
Heat Resistant Conveyor Belt_number_Belt Thickness,Heat Resistant Conveyor Belt,number,Belt Thickness,1190.0,1190.0
Heat Resistant Conveyor Belt_number_Belt Width,Heat Resistant Conveyor Belt,number,Belt Width,1190.0,1190.0
Heat Resistant Conveyor Belt_number_Color,Heat Resistant Conveyor Belt,number,Color,1190.0,1190.0
Heat Resistant Conveyor Belt_number_Material,Heat Resistant Conveyor Belt,number,Material,1190.0,1190.0
Heat Resistant Conveyor Belt_piece_Belt Thickness,Heat Resistant Conveyor Belt,piece,Belt Thickness,1200.0,700.0
Heat Resistant Conveyor Belt_piece_Belt Width,Heat Resistant Conveyor Belt,piece,Belt Width,1200.0,700.0
Heat Resistant Conveyor Belt_piece_Material,Heat Resistant Conveyor Belt,piece,Material,1200.0,700.0
Heat Resistant Conveyor Belt_piece_Tensile Strength,Heat Resistant Conveyor Belt,piece,Tensile Strength,700.0,700.0
Heat Resistant Conveyor Belt_square feet_Belt Thickness,Heat Resistant Conveyor Belt,square feet,Belt Thickness,500.0,500.0
Heat Resistant Conveyor Belt_square feet_Belt Width,Heat Resistant Conveyor Belt,square feet,Belt Width,500.0,500.0
Heat Resistant Conveyor Belt_square meter_Belt Thickness,Heat Resistant Conveyor Belt,square meter,Belt Thickness,1300.0,700.0
Heat Resistant Conveyor Belt_square meter_Belt Width,Heat Resistant Conveyor Belt,square meter,Belt Width,2800.0,2500.0
Heat Resistant Conveyor Belt_square meter_Tensile Strength,Heat Resistant Conveyor Belt,square meter,Tensile Strength,2800.0,2800.0
High Pressure Air Compressor_number_Accessories,High Pressure Air Compressor,number,Accessories,50000.0,50000.0
High Pressure Air Compressor_number_Air Tank Capacity,High Pressure Air Compressor,number,Air Tank Capacity,95000.0,50000.0
High Pressure Air Compressor_number_Airflow requirement,High Pressure Air Compressor,number,Airflow requirement,50000.0,50000.0
High Pressure Air Compressor_number_Compressor Brand,High Pressure Air Compressor,number,Compressor Brand,95000.0,50000.0
High Pressure Air Compressor_number_Compressor Mounting Configuration,High Pressure Air Compressor,number,Compressor Mounting Configuration,50000.0,50000.0
High Pressure Air Compressor_number_Compressor Noise Level,High Pressure Air Compressor,number,Compressor Noise Level,50000.0,50000.0
High Pressure Air Compressor_number_Compressor Technology,High Pressure Air Compressor,number,Compressor Technology,1000000.0,50000.0
High Pressure Air Compressor_number_Compressor Type,High Pressure Air Compressor,number,Compressor Type,50000.0,50000.0
High Pressure Air Compressor_number_Condition,High Pressure Air Compressor,number,Condition,50000.0,50000.0
High Pressure Air Compressor_number_Cooling Method,High Pressure Air Compressor,number,Cooling Method,50000.0,50000.0
High Pressure Air Compressor_number_Discharge Pressure,High Pressure Air Compressor,number,Discharge Pressure,50000.0,50000.0
High Pressure Air Compressor_number_Horse Power,High Pressure Air Compressor,number,Horse Power,95000.0,50000.0
High Pressure Air Compressor_number_Material,High Pressure Air Compressor,number,Material,50000.0,50000.0
High Pressure Air Compressor_number_Material of Construction,High Pressure Air Compressor,number,Material of Construction,50000.0,50000.0
High Pressure Air Compressor_number_Maximum Flow Rate,High Pressure Air Compressor,number,Maximum Flow Rate,50000.0,50000.0
High Pressure Air Compressor_number_Model No,High Pressure Air Compressor,number,Model No,225000.0,225000.0
High Pressure Air Compressor_number_Motor,High Pressure Air Compressor,number,Motor,225000.0,225000.0
High Pressure Air Compressor_number_Number of Compression Stages,High Pressure Air Compressor,number,Number of Compression Stages,95000.0,30000.0
High Pressure Air Compressor_number_Power Mode,High Pressure Air Compressor,number,Power Mode,225000.0,225000.0
High Pressure Air Compressor_number_Power Source,High Pressure Air Compressor,number,Power Source,20000.0,20000.0
High Pressure Air Compressor_number_Size of Receiver,High Pressure Air Compressor,number,Size of Receiver,225000.0,50000.0
High Pressure Air Compressor_number_Usage/Application,High Pressure Air Compressor,number,Usage/Application,1000000.0,50000.0
High Pressure Air Compressor_piece_Accessories,High Pressure Air Compressor,piece,Accessories,28500.0,28500.0
High Pressure Air Compressor_piece_Air Tank Capacity,High Pressure Air Compressor,piece,Air Tank Capacity,150000.0,28500.0
High Pressure Air Compressor_piece_Brand,High Pressure Air Compressor,piece,Brand,190000.0,25000.0
High Pressure Air Compressor_piece_Capacity,High Pressure Air Compressor,piece,Capacity,60000.0,29000.0
High Pressure Air Compressor_piece_Compressor Brand,High Pressure Air Compressor,piece,Compressor Brand,160000.0,95000.0
High Pressure Air Compressor_piece_Compressor Technology,High Pressure Air Compressor,piece,Compressor Technology,190000.0,14000.0
High Pressure Air Compressor_piece_Compressor Type,High Pressure Air Compressor,piece,Compressor Type,150000.0,120000.0
High Pressure Air Compressor_piece_Cooling Method,High Pressure Air Compressor,piece,Cooling Method,45000.0,28500.0
High Pressure Air Compressor_piece_Discharge Pressure,High Pressure Air Compressor,piece,Discharge Pressure,160000.0,100000.0
High Pressure Air Compressor_piece_FAD,High Pressure Air Compressor,piece,FAD,100000.0,100000.0
High Pressure Air Compressor_piece_Horse Power,High Pressure Air Compressor,piece,Horse Power,160000.0,25000.0
High Pressure Air Compressor_piece_Horse Power (HP),High Pressure Air Compressor,piece,Horse Power (HP),55000.0,27000.0
High Pressure Air Compressor_piece_I deal in,High Pressure Air Compressor,piece,I deal in,100000.0,100000.0
High Pressure Air Compressor_piece_Material,High Pressure Air Compressor,piece,Material,100000.0,100000.0
High Pressure Air Compressor_piece_Maximum Flow Rate,High Pressure Air Compressor,piece,Maximum Flow Rate,160000.0,25000.0
High Pressure Air Compressor_piece_Maximum Flow Rate (CFM),High Pressure Air Compressor,piece,Maximum Flow Rate (CFM),450000.0,100000.0
High Pressure Air Compressor_piece_Model,High Pressure Air Compressor,piece,Model,32000.0,29000.0
High Pressure Air Compressor_piece_Model Number/Name,High Pressure Air Compressor,piece,Model Number/Name,190000.0,190000.0
High Pressure Air Compressor_piece_Motor,High Pressure Air Compressor,piece,Motor,122000.0,122000.0
High Pressure Air Compressor_piece_Number of Compression Stages,High Pressure Air Compressor,piece,Number of Compression Stages,32500.0,14000.0
High Pressure Air Compressor_piece_Output Pressure,High Pressure Air Compressor,piece,Output Pressure,190000.0,32000.0
High Pressure Air Compressor_piece_Power Mode,High Pressure Air Compressor,piece,Power Mode,122000.0,122000.0
High Pressure Air Compressor_piece_Power Source,High Pressure Air Compressor,piece,Power Source,58000.0,28500.0
High Pressure Air Compressor_piece_Size of Receiver,High Pressure Air Compressor,piece,Size of Receiver,120000.0,120000.0
High Pressure Air Compressor_piece_Usage/Application,High Pressure Air Compressor,piece,Usage/Application,150000.0,35000.0
High Pressure Air Compressor_piece_Voltage,High Pressure Air Compressor,piece,Voltage,58000.0,45000.0
High Pressure Air Compressor_set_Air Tank Capacity,High Pressure Air Compressor,set,Air Tank Capacity,165000.0,165000.0
High Pressure Air Compressor_set_Brand,High Pressure Air Compressor,set,Brand,165000.0,165000.0
High Pressure Air Compressor_set_Capacity,High Pressure Air Compressor,set,Capacity,165000.0,165000.0
High Pressure Air Compressor_set_Compressor Brand,High Pressure Air Compressor,set,Compressor Brand,165000.0,165000.0
High Pressure Air Compressor_set_Compressor Technology,High Pressure Air Compressor,set,Compressor Technology,165000.0,65000.0
High Pressure Air Compressor_set_Horse Power,High Pressure Air Compressor,set,Horse Power,165000.0,165000.0
High Pressure Air Compressor_set_Maximum Flow Rate,High Pressure Air Compressor,set,Maximum Flow Rate,165000.0,165000.0
High Pressure Air Compressor_set_Maximum Flow Rate (CFM),High Pressure Air Compressor,set,Maximum Flow Rate (CFM),165000.0,165000.0
High Pressure Air Compressor_set_Model Number/Name,High Pressure Air Compressor,set,Model Number/Name,165000.0,165000.0
High Pressure Air Compressor_set_Number of Compression Stages,High Pressure Air Compressor,set,Number of Compression Stages,65000.0,65000.0
High Pressure Air Compressor_set_Output Pressure,High Pressure Air Compressor,set,Output Pressure,165000.0,165000.0
High Pressure Air Compressor_unit_Accessories,High Pressure Air Compressor,unit,Accessories,600000.0,95000.0
High Pressure Air Compressor_unit_Air Tank Capacity,High Pressure Air Compressor,unit,Air Tank Capacity,360000.0,35000.0
High Pressure Air Compressor_unit_Brand,High Pressure Air Compressor,unit,Brand,360000.0,15000.0
High Pressure Air Compressor_unit_Capacity,High Pressure Air Compressor,unit,Capacity,307000.0,187500.0
High Pressure Air Compressor_unit_Compressor Brand,High Pressure Air Compressor,unit,Compressor Brand,350000.0,95000.0
High Pressure Air Compressor_unit_Compressor Mounting Configuration,High Pressure Air Compressor,unit,Compressor Mounting Configuration,240000.0,240000.0
High Pressure Air Compressor_unit_Compressor Technology,High Pressure Air Compressor,unit,Compressor Technology,240000.0,25000.0
High Pressure Air Compressor_unit_Compressor Type,High Pressure Air Compressor,unit,Compressor Type,360000.0,16295.0
High Pressure Air Compressor_unit_Condition,High Pressure Air Compressor,unit,Condition,240000.0,240000.0
High Pressure Air Compressor_unit_Cooling Method,High Pressure Air Compressor,unit,Cooling Method,240000.0,25000.0
High Pressure Air Compressor_unit_Discharge Pressure,High Pressure Air Compressor,unit,Discharge Pressure,307000.0,35000.0
High Pressure Air Compressor_unit_Horse Power,High Pressure Air Compressor,unit,Horse Power,360000.0,10000.0
High Pressure Air Compressor_unit_Horse Power (HP),High Pressure Air Compressor,unit,Horse Power (HP),120000.0,19500.0
High Pressure Air Compressor_unit_Material,High Pressure Air Compressor,unit,Material,360000.0,30000.0
High Pressure Air Compressor_unit_Material of Construction,High Pressure Air Compressor,unit,Material of Construction,355000.0,30000.0
High Pressure Air Compressor_unit_Maximum Flow Rate,High Pressure Air Compressor,unit,Maximum Flow Rate,240000.0,30000.0
High Pressure Air Compressor_unit_Maximum Flow Rate (CFM),High Pressure Air Compressor,unit,Maximum Flow Rate (CFM),307000.0,175000.0
High Pressure Air Compressor_unit_Model,High Pressure Air Compressor,unit,Model,300000.0,175000.0
High Pressure Air Compressor_unit_Model Number/Name,High Pressure Air Compressor,unit,Model Number/Name,307000.0,175000.0
High Pressure Air Compressor_unit_Number Of Compression Stages,High Pressure Air Compressor,unit,Number Of Compression Stages,500000.0,60000.0
High Pressure Air Compressor_unit_Number of Compression Stages,High Pressure Air Compressor,unit,Number of Compression Stages,360000.0,10000.0
High Pressure Air Compressor_unit_Output Pressure,High Pressure Air Compressor,unit,Output Pressure,307000.0,187500.0
High Pressure Air Compressor_unit_Power Source,High Pressure Air Compressor,unit,Power Source,360000.0,30000.0
High Pressure Air Compressor_unit_Size of Receiver,High Pressure Air Compressor,unit,Size of Receiver,125000.0,125000.0
High Pressure Air Compressor_unit_Usage/Application,High Pressure Air Compressor,unit,Usage/Application,360000.0,68000.0
High Pressure Air Compressor_unit_Voltage,High Pressure Air Compressor,unit,Voltage,75000.0,35000.0
Hydraulic Bending Machine_piece_Automatic Grade,Hydraulic Bending Machine,piece,Automatic Grade,220000.0,220000.0
Hydraulic Bending Machine_piece_Bending Material,Hydraulic Bending Machine,piece,Bending Material,260000.0,160000.0
Hydraulic Bending Machine_piece_Brand,Hydraulic Bending Machine,piece,Brand,650000.0,220000.0
Hydraulic Bending Machine_piece_Control Type,Hydraulic Bending Machine,piece,Control Type,550000.0,350000.0
Hydraulic Bending Machine_piece_Cutting Load,Hydraulic Bending Machine,piece,Cutting Load,350000.0,350000.0
Hydraulic Bending Machine_piece_Max Bending Radius,Hydraulic Bending Machine,piece,Max Bending Radius,550000.0,260000.0
Hydraulic Bending Machine_piece_Model,Hydraulic Bending Machine,piece,Model,320000.0,260000.0
Hydraulic Bending Machine_piece_Sheet Material,Hydraulic Bending Machine,piece,Sheet Material,220000.0,220000.0
Hydraulic Bending Machine_piece_Size,Hydraulic Bending Machine,piece,Size,350000.0,350000.0
Hydraulic Bending Machine_piece_Usage/Application,Hydraulic Bending Machine,piece,Usage/Application,1000000.0,1000000.0
Hydraulic Bending Machine_piece_Voltage,Hydraulic Bending Machine,piece,Voltage,650000.0,650000.0
Hydraulic Bending Machine_unit_Brand,Hydraulic Bending Machine,unit,Brand,50000.0,50000.0
Hydraulic Bending Machine_unit_Drilling Diameter,Hydraulic Bending Machine,unit,Drilling Diameter,50000.0,50000.0
Hydraulic Bending Machine_unit_Max Bending Radius,Hydraulic Bending Machine,unit,Max Bending Radius,500000.0,375000.0
Jar Filling Machine_number_Brand,Jar Filling Machine,number,Brand,500000.0,500000.0
Jar Filling Machine_number_Capacity,Jar Filling Machine,number,Capacity,500000.0,500000.0
Jar Filling Machine_number_Packing Type,Jar Filling Machine,number,Packing Type,500000.0,500000.0
Jar Filling Machine_number_Voltage,Jar Filling Machine,number,Voltage,500000.0,500000.0
Jar Filling Machine_piece_Bottle Size,Jar Filling Machine,piece,Bottle Size,45000.0,45000.0
Jar Filling Machine_piece_Brand,Jar Filling Machine,piece,Brand,900000.0,500000.0
Jar Filling Machine_piece_Capacity,Jar Filling Machine,piece,Capacity,850000.0,12500.0
Jar Filling Machine_piece_Driven Type,Jar Filling Machine,piece,Driven Type,125000.0,125000.0
Jar Filling Machine_piece_Machine Type,Jar Filling Machine,piece,Machine Type,300000.0,300000.0
Jar Filling Machine_piece_Material,Jar Filling Machine,piece,Material,300000.0,125000.0
Jar Filling Machine_piece_Model Number/Name,Jar Filling Machine,piece,Model Number/Name,12500.0,12500.0
Jar Filling Machine_piece_Packing Type,Jar Filling Machine,piece,Packing Type,600000.0,600000.0
Jar Filling Machine_piece_Phase,Jar Filling Machine,piece,Phase,300000.0,5000.0
Jar Filling Machine_piece_Power,Jar Filling Machine,piece,Power,45000.0,45000.0
Jar Filling Machine_piece_Power Consumption,Jar Filling Machine,piece,Power Consumption,850000.0,500000.0
Jar Filling Machine_piece_Usage/Application,Jar Filling Machine,piece,Usage/Application,45000.0,45000.0
Jar Filling Machine_piece_Voltage,Jar Filling Machine,piece,Voltage,1500000.0,12500.0
Jar Filling Machine_piece_Washing Type,Jar Filling Machine,piece,Washing Type,45000.0,45000.0
Jar Filling Machine_set_Voltage,Jar Filling Machine,set,Voltage,600000.0,600000.0
Jar Filling Machine_unit_Brand,Jar Filling Machine,unit,Brand,650000.0,200000.0
Jar Filling Machine_unit_Capacity,Jar Filling Machine,unit,Capacity,950000.0,200000.0
Jar Filling Machine_unit_Filling Product,Jar Filling Machine,unit,Filling Product,650000.0,650000.0
Jar Filling Machine_unit_Material,Jar Filling Machine,unit,Material,1200000.0,495000.0
Jar Filling Machine_unit_Packaging Type,Jar Filling Machine,unit,Packaging Type,950000.0,650000.0
Jar Filling Machine_unit_Packing Type,Jar Filling Machine,unit,Packing Type,200000.0,200000.0
Jar Filling Machine_unit_Phase,Jar Filling Machine,unit,Phase,480000.0,200000.0
Jar Filling Machine_unit_Power Consumption,Jar Filling Machine,unit,Power Consumption,495000.0,200000.0
Jar Filling Machine_unit_Usage/Application,Jar Filling Machine,unit,Usage/Application,1200000.0,1200000.0
Jar Filling Machine_unit_Voltage (V),Jar Filling Machine,unit,Voltage (V),500000.0,500000.0
Jindal GI Pipe_feet_Application,Jindal GI Pipe,feet,Application,27.0,27.0
Jindal GI Pipe_feet_Brand,Jindal GI Pipe,feet,Brand,27.0,27.0
Jindal GI Pipe_feet_Material Grade,Jindal GI Pipe,feet,Material Grade,27.0,27.0
Jindal GI Pipe_feet_Size/Diameter,Jindal GI Pipe,feet,Size/Diameter,27.0,27.0
Jindal GI Pipe_feet_Unit Length,Jindal GI Pipe,feet,Unit Length,27.0,27.0
Jindal GI Pipe_kilogram_Application,Jindal GI Pipe,kilogram,Application,78.0,61.65
Jindal GI Pipe_kilogram_Brand,Jindal GI Pipe,kilogram,Brand,61.65,45.0
Jindal GI Pipe_kilogram_Diameter,Jindal GI Pipe,kilogram,Diameter,95.0,48.0
Jindal GI Pipe_kilogram_Grade,Jindal GI Pipe,kilogram,Grade,75.0,61.65
Jindal GI Pipe_kilogram_Material,Jindal GI Pipe,kilogram,Material,65.0,45.0
Jindal GI Pipe_kilogram_Material Grade,Jindal GI Pipe,kilogram,Material Grade,78.0,61.65
Jindal GI Pipe_kilogram_Outer Diameter,Jindal GI Pipe,kilogram,Outer Diameter,61.65,60.0
Jindal GI Pipe_kilogram_Size,Jindal GI Pipe,kilogram,Size,45.0,45.0
Jindal GI Pipe_kilogram_Size/Diameter,Jindal GI Pipe,kilogram,Size/Diameter,78.0,61.65
Jindal GI Pipe_kilogram_Thickness,Jindal GI Pipe,kilogram,Thickness,75.0,45.0
Jindal GI Pipe_kilogram_Type,Jindal GI Pipe,kilogram,Type,61.65,45.0
Jindal GI Pipe_kilogram_Unit Length,Jindal GI Pipe,kilogram,Unit Length,65.0,46.0
Jindal GI Pipe_meter_Brand,Jindal GI Pipe,meter,Brand,140.0,77.0
Jindal GI Pipe_meter_Diameter,Jindal GI Pipe,meter,Diameter,140.0,20.0
Jindal GI Pipe_meter_Material,Jindal GI Pipe,meter,Material,77.0,20.0
Jindal GI Pipe_meter_Material Grade,Jindal GI Pipe,meter,Material Grade,140.0,140.0
Jindal GI Pipe_meter_Thickness,Jindal GI Pipe,meter,Thickness,77.0,77.0
Jindal GI Pipe_meter_Type,Jindal GI Pipe,meter,Type,120.0,120.0
Jindal GI Pipe_meter_Unit Length,Jindal GI Pipe,meter,Unit Length,140.0,20.0
Jindal GI Pipe_piece_Application,Jindal GI Pipe,piece,Application,1000.0,1000.0
Jindal GI Pipe_piece_Brand,Jindal GI Pipe,piece,Brand,747.0,180.0
Jindal GI Pipe_piece_Diameter,Jindal GI Pipe,piece,Diameter,747.0,180.0
Jindal GI Pipe_piece_Material,Jindal GI Pipe,piece,Material,1000.0,747.0
Jindal GI Pipe_piece_Size/Diameter,Jindal GI Pipe,piece,Size/Diameter,1000.0,1000.0
Jindal GI Pipe_piece_Thickness,Jindal GI Pipe,piece,Thickness,1000.0,1000.0
Jindal GI Pipe_piece_Unit Length,Jindal GI Pipe,piece,Unit Length,1000.0,747.0
Jindal GI Pipe_ton_Application,Jindal GI Pipe,ton,Application,32500.0,32500.0
Jindal GI Pipe_ton_Color,Jindal GI Pipe,ton,Color,32500.0,32500.0
Jindal GI Pipe_ton_Length,Jindal GI Pipe,ton,Length,32500.0,32500.0
Jindal GI Pipe_ton_Nominal Size,Jindal GI Pipe,ton,Nominal Size,32500.0,32500.0
Jindal GI Pipe_ton_Packaging Size,Jindal GI Pipe,ton,Packaging Size,32500.0,32500.0
Juicer Mixer Grinder_box_Accessories Included,Juicer Mixer Grinder,box,Accessories Included,2100.0,2100.0
Juicer Mixer Grinder_box_Brand,Juicer Mixer Grinder,box,Brand,2500.0,2500.0
Juicer Mixer Grinder_box_Grade,Juicer Mixer Grinder,box,Grade,699.0,699.0
Juicer Mixer Grinder_box_Product Type,Juicer Mixer Grinder,box,Product Type,699.0,699.0
Juicer Mixer Grinder_box_Use,Juicer Mixer Grinder,box,Use,2100.0,2100.0
Juicer Mixer Grinder_box_Wattage,Juicer Mixer Grinder,box,Wattage,699.0,699.0
Juicer Mixer Grinder_carton_Accessories Included,Juicer Mixer Grinder,carton,Accessories Included,1200.0,1200.0
Juicer Mixer Grinder_carton_Applicable Fruits,Juicer Mixer Grinder,carton,Applicable Fruits,1200.0,1200.0
Juicer Mixer Grinder_carton_Blades Assemblies,Juicer Mixer Grinder,carton,Blades Assemblies,1200.0,1200.0
Juicer Mixer Grinder_carton_Brand,Juicer Mixer Grinder,carton,Brand,1200.0,1200.0
Juicer Mixer Grinder_carton_Color,Juicer Mixer Grinder,carton,Color,1200.0,1200.0
Juicer Mixer Grinder_carton_Grinder Type,Juicer Mixer Grinder,carton,Grinder Type,1200.0,1200.0
Juicer Mixer Grinder_carton_Material,Juicer Mixer Grinder,carton,Material,1200.0,1200.0
Juicer Mixer Grinder_carton_Model Number,Juicer Mixer Grinder,carton,Model Number,1200.0,1200.0
Juicer Mixer Grinder_carton_Motor,Juicer Mixer Grinder,carton,Motor,1200.0,1200.0
Juicer Mixer Grinder_carton_Number of Blades,Juicer Mixer Grinder,carton,Number of Blades,1200.0,1200.0
Juicer Mixer Grinder_carton_Power,Juicer Mixer Grinder,carton,Power,1200.0,1200.0
Juicer Mixer Grinder_number_Brand,Juicer Mixer Grinder,number,Brand,1499.0,1499.0
Juicer Mixer Grinder_one_Brand,Juicer Mixer Grinder,one,Brand,1450.0,1400.0
Juicer Mixer Grinder_one_Grinder Type,Juicer Mixer Grinder,one,Grinder Type,1450.0,1400.0
Juicer Mixer Grinder_one_Power,Juicer Mixer Grinder,one,Power,1450.0,1400.0
Juicer Mixer Grinder_one_Wattage,Juicer Mixer Grinder,one,Wattage,1450.0,1400.0
Juicer Mixer Grinder_pack_Brand,Juicer Mixer Grinder,pack,Brand,5990.0,2600.0
Juicer Mixer Grinder_pack_Color,Juicer Mixer Grinder,pack,Color,5990.0,5990.0
Juicer Mixer Grinder_pack_Grinder Type,Juicer Mixer Grinder,pack,Grinder Type,5990.0,2600.0
Juicer Mixer Grinder_pack_Power,Juicer Mixer Grinder,pack,Power,3405.0,3405.0
Juicer Mixer Grinder_pack_Wattage,Juicer Mixer Grinder,pack,Wattage,5990.0,2600.0
Juicer Mixer Grinder_packet_Grinder Type,Juicer Mixer Grinder,packet,Grinder Type,2700.0,2700.0
Juicer Mixer Grinder_packet_Power,Juicer Mixer Grinder,packet,Power,2700.0,2700.0
Juicer Mixer Grinder_pair_Brand,Juicer Mixer Grinder,pair,Brand,3500.0,3500.0
Juicer Mixer Grinder_pair_Color,Juicer Mixer Grinder,pair,Color,3500.0,3500.0
Juicer Mixer Grinder_pair_Grinder Type,Juicer Mixer Grinder,pair,Grinder Type,3500.0,3500.0
Juicer Mixer Grinder_piece_Accessories Included,Juicer Mixer Grinder,piece,Accessories Included,750.0,390.0
Juicer Mixer Grinder_piece_Applicable Fruits,Juicer Mixer Grinder,piece,Applicable Fruits,750.0,500.0
Juicer Mixer Grinder_piece_Blades Assemblies,Juicer Mixer Grinder,piece,Blades Assemblies,750.0,750.0
Juicer Mixer Grinder_piece_Brand,Juicer Mixer Grinder,piece,Brand,8000.0,1.0
Juicer Mixer Grinder_piece_Capacity,Juicer Mixer Grinder,piece,Capacity,2100.0,399.0
Juicer Mixer Grinder_piece_Capacity (Litre),Juicer Mixer Grinder,piece,Capacity (Litre),3500.0,3500.0
Juicer Mixer Grinder_piece_Color,Juicer Mixer Grinder,piece,Color,3099.0,1.0
Juicer Mixer Grinder_piece_Grinder Type,Juicer Mixer Grinder,piece,Grinder Type,3099.0,1.0
Juicer Mixer Grinder_piece_Material,Juicer Mixer Grinder,piece,Material,1000.0,310.0
Juicer Mixer Grinder_piece_Model Number,Juicer Mixer Grinder,piece,Model Number,2272.0,399.0
